round,node_id,neighbors_list,position_x,position_y
1,1,"2,7,12",120,100
1,2,"1,3,8",240,100
1,3,"2,4,9",360,100
1,4,"3,5,10",480,100
1,5,"4,6,11",120,240
1,6,"5,7,12",240,240
1,7,"6,8,1",360,240
1,8,"7,9,2",480,240
1,9,"8,10,3",120,380
1,10,"9,11,4",240,380
1,11,"10,12,5",360,380
1,12,"11,1,6",480,380
2,1,"2,7,12",120,100
2,2,"1,3,8",240,100
2,3,"2,4,9",360,100
2,4,"3,5,10",480,100
2,5,"4,6,11",120,240
2,6,"5,7,12",240,240
2,7,"6,8,1",360,240
2,8,"7,9,2",480,240
2,9,"8,10,3",120,380
2,10,"9,11,4",240,380
2,11,"10,12,5",360,380
2,12,"11,1,6",480,380
3,1,"2,7,12",120,100
3,2,"1,3,8",240,100
3,3,"2,4,9",360,100
3,4,"3,5,10",480,100
3,5,"4,6,11",120,240
3,6,"5,7,12",240,240
3,7,"6,8,1",360,240
3,8,"7,9,2",480,240
3,9,"8,10,3",120,380
3,10,"9,11,4",240,380
3,11,"10,12,5",360,380
3,12,"11,1,6",480,380
4,1,"2,7,12",120,100
4,2,"1,3,8",240,100
4,3,"2,4,9",360,100
4,4,"3,5,10",480,100
4,5,"4,6,11",120,240
4,6,"5,7,12",240,240
4,7,"6,8,1",360,240
4,8,"7,9,2",480,240
4,9,"8,10,3",120,380
4,10,"9,11,4",240,380
4,11,"10,12,5",360,380
4,12,"11,1,6",480,380
5,1,"2,7,12",120,100
5,2,"1,3,8",240,100
5,3,"2,4,9",360,100
5,4,"3,5,10",480,100
5,5,"4,6,11",120,240
5,6,"5,7,12",240,240
5,7,"6,8,1",360,240
5,8,"7,9,2",480,240
5,9,"8,10,3",120,380
5,10,"9,11,4",240,380
5,11,"10,12,5",360,380
5,12,"11,1,6",480,380
6,1,"2,7,12",120,100
6,2,"1,3,8",240,100
6,3,"2,4,9",360,100
6,4,"3,5,10",480,100
6,5,"4,6,11",120,240
6,6,"5,7,12",240,240
6,7,"6,8,1",360,240
6,8,"7,9,2",480,240
6,9,"8,10,3",120,380
6,10,"9,11,4",240,380
6,11,"10,12,5",360,380
6,12,"11,1,6",480,380
7,1,"2,7,12",120,100
7,2,"1,3,8",240,100
7,3,"2,4,9",360,100
7,4,"3,5,10",480,100
7,5,"4,6,11",120,240
7,6,"5,7,12",240,240
7,7,"6,8,1",360,240
7,8,"7,9,2",480,240
7,9,"8,10,3",120,380
7,10,"9,11,4",240,380
7,11,"10,12,5",360,380
7,12,"11,1,6",480,380
8,1,"2,7,12",120,100
8,2,"1,3,8",240,100
8,3,"2,4,9",360,100
8,4,"3,5,10",480,100
8,5,"4,6,11",120,240
8,6,"5,7,12",240,240
8,7,"6,8,1",360,240
8,8,"7,9,2",480,240
8,9,"8,10,3",120,380
8,10,"9,11,4",240,380
8,11,"10,12,5",360,380
8,12,"11,1,6",480,380
